id,title,rating,date,body,sentiment,category,satisfied,text
11,Professional supplier and attentive to the customer,5,2023-08-22 00:00:00+00:00,"L’emballage a été livré à temps, les brosses sont de très bonne qualité, le logo de la marque est cohérent et a été bien imprimé. Excellent suivi du vendeur, de la commande à la réception du colis. Je recommande vivement.",Positive,Customer Service,1,"Professional supplier and attentive to the customer L’emballage a été livré à temps, les brosses sont de très bonne qualité, le logo de la marque est cohérent et a été bien imprimé. Excellent suivi du vendeur, de la commande à la réception du colis. Je recommande vivement."
12,Catastrophique !  Et même pire.,1,2024-06-21 00:00:00+00:00,"J'ai passé deux commandes : un smartphone S24 et une tablette.
J'ai reçu un jeu Tétris des années 2000 en guise de smartphone et la tablette ne s'allume pas !
J'ai donc renvoyé le ""smartphone"" et demandé le remboursement.
Tout s'est correctement passé mais pas de remboursement....
Pour la tablette, j'ai demandé le retour et le remboursement mais au bout de 3 jours, aucune nouvelle.
En me reconnectant (très difficilement) sur le site Alibaba, toutes mes commandes avaient disparues et mon compte était vierge.
En clair, j'ai perdu l'argent correspondant à ces 2 commandes.
Sans compter une ergonomie des plus déplorables du site.

Modification de mon message :
J'ai confondu Alibaba et Aliexpress.
Cela dit, la connexion à Alibaba et à Aliexpress se fait avec le même compte et si, sur les 2 sites, l'ergonomie n'était pas si lamentable, cette confusion aurait pu être limitée.
Je remercie l'interlocuteur de Aliexpress qui, grâce à une relation épistolière, a apporté une promesse de résolution de tous mes problèmes.
A suivre....
",Negative,Electronics,0,"Catastrophique !  Et même pire. J'ai passé deux commandes : un smartphone S24 et une tablette.
J'ai reçu un jeu Tétris des années 2000 en guise de smartphone et la tablette ne s'allume pas !
J'ai donc renvoyé le ""smartphone"" et demandé le remboursement.
Tout s'est correctement passé mais pas de remboursement....
Pour la tablette, j'ai demandé le retour et le remboursement mais au bout de 3 jours, aucune nouvelle.
En me reconnectant (très difficilement) sur le site Alibaba, toutes mes commandes avaient disparues et mon compte était vierge.
En clair, j'ai perdu l'argent correspondant à ces 2 commandes.
Sans compter une ergonomie des plus déplorables du site.

Modification de mon message :
J'ai confondu Alibaba et Aliexpress.
Cela dit, la connexion à Alibaba et à Aliexpress se fait avec le même compte et si, sur les 2 sites, l'ergonomie n'était pas si lamentable, cette confusion aurait pu être limitée.
Je remercie l'interlocuteur de Aliexpress qui, grâce à une relation épistolière, a apporté une promesse de résolution de tous mes problèmes.
A suivre....
"
13,Je recommande,5,2023-01-02 00:00:00+00:00,"Contrairement à d'autres avis, avec bit.ly /Alibaba-download  ma livraison fût rapide. La transaction est sécurisé et ma commande est conforme à la description. Je recommande👍😁",Neutral,Customer Service,1,"Je recommande Contrairement à d'autres avis, avec bit.ly /Alibaba-download  ma livraison fût rapide. La transaction est sécurisé et ma commande est conforme à la description. Je recommande👍😁"
14,Mon ami mark m'a toujours accompagné a…,5,2023-12-14 00:00:00+00:00,Mon ami mark m'a toujours accompagné a distance jusqu'à ce que je reçois mes colis vraiment c'est formidable du courage,Negative,Shipping,1,Mon ami mark m'a toujours accompagné a… Mon ami mark m'a toujours accompagné a distance jusqu'à ce que je reçois mes colis vraiment c'est formidable du courage
15,Super entreprise. Très pro et qualité top !,5,2024-01-04 00:00:00+00:00,"Je suis enchanté par cette entreprise et leurs produits. 
Livraison rapide, qualité au top et service remarquable. 
Très professionnel !!",Positive,Customer Service,1,"Super entreprise. Très pro et qualité top ! Je suis enchanté par cette entreprise et leurs produits. 
Livraison rapide, qualité au top et service remarquable. 
Très professionnel !!"
16,C'est super vraiment je recommande les…,5,2024-02-27 00:00:00+00:00,C'est super vraiment je recommande les tapis l'emballage et les chapelets sont de grande qualité. Top,Positive,Customer Service,1,C'est super vraiment je recommande les… C'est super vraiment je recommande les tapis l'emballage et les chapelets sont de grande qualité. Top
17,Fabriquant sérieux et je recommande,5,2024-01-10 00:00:00+00:00,"Livraison conforme à la commande
Produit de qualité et conceptions demandées respectées et belles
Bon service de communication et disponibilité de mon interlocuteur pendant toute la durée 
Je recommande ce fabriquant",Negative,Customer Service,1,"Fabriquant sérieux et je recommande Livraison conforme à la commande
Produit de qualité et conceptions demandées respectées et belles
Bon service de communication et disponibilité de mon interlocuteur pendant toute la durée 
Je recommande ce fabriquant"
18,Professionnalisme au top,5,2022-09-23 00:00:00+00:00,"Professionnalisme au top, pas déçue.
Nous n'hésiterons pas travailler plus souvent ici.",Negative,Marketplace,1,"Professionnalisme au top Professionnalisme au top, pas déçue.
Nous n'hésiterons pas travailler plus souvent ici."
19,l'entreprise m'a livrer des produits de…,5,2024-01-30 00:00:00+00:00,l'entreprise m'a livrer des produits de qualité dans un bref délai et à un prix imbattable.,Negative,Shipping,1,l'entreprise m'a livrer des produits de… l'entreprise m'a livrer des produits de qualité dans un bref délai et à un prix imbattable.
20,Trade Assurance Alibaba,1,2024-06-14 00:00:00+00:00,"Alibaba pour éviter les arnaques vous informe que toutes vos commandes sont protégées par Trade Assurance
Une garantie de remboursement en cas de litige!
Mais ce n'est pas le cas!
Si vous avez un fournisseur sérieux et honnête, tout se passe bien!
S'il est malhonnête, vous perdez votre argent.
",Negative,Customer Service,0,"Trade Assurance Alibaba Alibaba pour éviter les arnaques vous informe que toutes vos commandes sont protégées par Trade Assurance
Une garantie de remboursement en cas de litige!
Mais ce n'est pas le cas!
Si vous avez un fournisseur sérieux et honnête, tout se passe bien!
S'il est malhonnête, vous perdez votre argent.
"
21,Livraison rapide,5,2023-03-17 00:00:00+00:00,J'ai fait une petite commande les articles sont arrivé en 6 jours. Le site est très clair et sécurisés pour les paiement du fournisseurs,Neutral,Customer Service,1,Livraison rapide J'ai fait une petite commande les articles sont arrivé en 6 jours. Le site est très clair et sécurisés pour les paiement du fournisseurs
22,Tour à jardin,3,2023-09-03 00:00:00+00:00,"Très bon service et suivi de la représentante.
La compagnie a oublié d’inclure des pièces et des instructions de montage et d’utilisation.
Une des lumières ne fonctionne pas et la pompe ne fonctionne pas non plus.
Le transporteur n’a pas pris soin de la boîte et des pièces ont été brisées.
J’aurais préféré qu’on me conseille un produit de qualité supérieure.",Negative,Customer Service,0,"Tour à jardin Très bon service et suivi de la représentante.
La compagnie a oublié d’inclure des pièces et des instructions de montage et d’utilisation.
Une des lumières ne fonctionne pas et la pompe ne fonctionne pas non plus.
Le transporteur n’a pas pris soin de la boîte et des pièces ont été brisées.
J’aurais préféré qu’on me conseille un produit de qualité supérieure."
23,First order,5,2024-02-28 00:00:00+00:00,First order. Everything happened like expected (I will say even better). I will order again.,Negative,Uncategorized,1,First order First order. Everything happened like expected (I will say even better). I will order again.
24,Je suis très déçu de alibaba,1,2024-06-11 00:00:00+00:00,"Je suis très déçu de alibaba, victime d’un arnaque de 1550$ par un fournisseur du nom de Nguyen Michelle qui vend des Maverick et des motos, après avoir lui faire un virement bancaire, il m’a bloqué par la suite. Et j’ai déposé la une plainte contre le fournisseur, Alibaba me répond qu’il ne peuvent pas m’aider à résoudre ce problème. Très déçu je ne vous conseilles pas vraiment ",Negative,Customer Service,0,"Je suis très déçu de alibaba Je suis très déçu de alibaba, victime d’un arnaque de 1550$ par un fournisseur du nom de Nguyen Michelle qui vend des Maverick et des motos, après avoir lui faire un virement bancaire, il m’a bloqué par la suite. Et j’ai déposé la une plainte contre le fournisseur, Alibaba me répond qu’il ne peuvent pas m’aider à résoudre ce problème. Très déçu je ne vous conseilles pas vraiment "
25,Service de qualité,5,2023-09-26 00:00:00+00:00,"Service de qualité, les fournisseurs contactés sont de qualité et s'adaptent à nos besoins. Très bonne expérience",Neutral,Customer Service,1,"Service de qualité Service de qualité, les fournisseurs contactés sont de qualité et s'adaptent à nos besoins. Très bonne expérience"
26,Alibaba est tout simplement super,4,2023-07-06 00:00:00+00:00,Alibaba est tout simplement super. J'ai toujours été satisfait. RDV sur leur app pour découvrir le monde de Alibaba bit.ly /3Kd R0nR,Positive,Uncategorized,1,Alibaba est tout simplement super Alibaba est tout simplement super. J'ai toujours été satisfait. RDV sur leur app pour découvrir le monde de Alibaba bit.ly /3Kd R0nR
27,Professionnel honnête compétant et très…,5,2023-08-01 00:00:00+00:00,"Professionnel honnête compétant et très agréable.
Je recommande fortement.
Je suis très contente de la transaction.",Negative,Customer Service,1,"Professionnel honnête compétant et très… Professionnel honnête compétant et très agréable.
Je recommande fortement.
Je suis très contente de la transaction."
28,J'aime la rapidité des réponses,3,2023-05-31 00:00:00+00:00,"J'aime la rapidité des réponses, la rapidité de livraison

Dommage que je n'ai pu tester l'article avant parce que le levier que j'ai acheté n'est pas compatible avec mon scooter.",Negative,Shipping,0,"J'aime la rapidité des réponses J'aime la rapidité des réponses, la rapidité de livraison

Dommage que je n'ai pu tester l'article avant parce que le levier que j'ai acheté n'est pas compatible avec mon scooter."
29,marchandises bien reçue produit…,5,2023-06-26 00:00:00+00:00,marchandises bien reçue produit conforme et délai tenu service parfait avec li verna,Positive,Customer Service,1,marchandises bien reçue produit… marchandises bien reçue produit conforme et délai tenu service parfait avec li verna
30,J'achète régulièrement sur ce site et…,5,2024-01-13 00:00:00+00:00,"J'achète régulièrement sur ce site et je suis très satisfait. facilité de navigation, fournisseurs très disponible et des prix très avantageux.",Neutral,Marketplace,1,"J'achète régulièrement sur ce site et… J'achète régulièrement sur ce site et je suis très satisfait. facilité de navigation, fournisseurs très disponible et des prix très avantageux."
31,Bonjour j’ai fait une commande avec mon…,1,2024-06-04 00:00:00+00:00,Bonjour j’ai fait une commande avec mon portable payements avec PayPal avec le fournisseur Lily fan d’allibaba .le fournisseur m’a dit qu’il ne peut pas envoyer le colis à l’île de la Réunion.j’ai fait une demande le 30 avril de remboursement jusqu’à maintenant je l’est pas eu mon argent alors je voudrais savoir comment faire merci ,Negative,Customer Service,0,Bonjour j’ai fait une commande avec mon… Bonjour j’ai fait une commande avec mon portable payements avec PayPal avec le fournisseur Lily fan d’allibaba .le fournisseur m’a dit qu’il ne peut pas envoyer le colis à l’île de la Réunion.j’ai fait une demande le 30 avril de remboursement jusqu’à maintenant je l’est pas eu mon argent alors je voudrais savoir comment faire merci 
32,La conversation a été simple,5,2023-03-25 00:00:00+00:00,"La conversation a été simple, le processus de commande aussi, je suis satisfait et j'atteste que c'est fiable",Neutral,Customer Service,1,"La conversation a été simple La conversation a été simple, le processus de commande aussi, je suis satisfait et j'atteste que c'est fiable"
33,Entreprise sérieuse !,5,2023-05-19 00:00:00+00:00,"Produits recu dans les temps et conforme aux exigences de mon client.
Je recommande cette entreprise chinoise.",Negative,Customer Service,1,"Entreprise sérieuse ! Produits recu dans les temps et conforme aux exigences de mon client.
Je recommande cette entreprise chinoise."
34,taille très petit 2xl=L,5,2024-01-18 00:00:00+00:00,Bonne qualité mais pas assez chaud pour les hivers Canadiens.,Negative,Uncategorized,1,taille très petit 2xl=L Bonne qualité mais pas assez chaud pour les hivers Canadiens.
35,Mauvais site,1,2024-05-29 00:00:00+00:00,"Bons prix , ça ne sert a rien puisqu'il est impossible de commander !
Interressé par un boitier photo Canon,on me demande mon wathsapp : je n.ai pas .
 C'est une reponse ""robot"" qui renvoie toujours la même demande ,aucun lien d'achat direct c'est encore cette foutue union européenne qui nous emmerde ......
ADIEU ALIBABA  JE SUPPRIME CETTE APLICATION  INUTILE.....",Negative,Customer Service,0,"Mauvais site Bons prix , ça ne sert a rien puisqu'il est impossible de commander !
Interressé par un boitier photo Canon,on me demande mon wathsapp : je n.ai pas .
 C'est une reponse ""robot"" qui renvoie toujours la même demande ,aucun lien d'achat direct c'est encore cette foutue union européenne qui nous emmerde ......
ADIEU ALIBABA  JE SUPPRIME CETTE APLICATION  INUTILE....."
36,Première expérience d achat sur Alibaba.com…,5,2023-01-08 05:00:00+00:00,Première expérience d achat sur  Alibaba.com. Pièce  reçu vite et parfaitement comme décris. Très  satisfait.Merci,Positive,Uncategorized,1,Première expérience d achat sur Alibaba.com… Première expérience d achat sur  Alibaba.com. Pièce  reçu vite et parfaitement comme décris. Très  satisfait.Merci
37,GOOD EXPERIENCE,5,2024-04-12 00:00:00+00:00,"Reageant, quality and services are very good",Negative,Customer Service,1,"GOOD EXPERIENCE Reageant, quality and services are very good"
38,Super entreprise !,5,2023-09-12 00:00:00+00:00,"Toute la marchandise est conforme à la commande. C'est parfait !
Très bonne entreprise! Je recommande !",Positive,Customer Service,1,"Super entreprise ! Toute la marchandise est conforme à la commande. C'est parfait !
Très bonne entreprise! Je recommande !"
39,The products are of excellent quality,5,2023-05-30 00:00:00+00:00,The products are of excellent quality. The customer service is very nice and very responsive,Neutral,Customer Service,1,The products are of excellent quality The products are of excellent quality. The customer service is very nice and very responsive
40,PARFAIT PDT COMME JE LE VOULAIS,5,2023-05-22 00:00:00+00:00,"PARFAIT PDT COMME JE LE VOULAIS , livraison rapide ,tres bien emballe",Positive,Shipping,1,"PARFAIT PDT COMME JE LE VOULAIS PARFAIT PDT COMME JE LE VOULAIS , livraison rapide ,tres bien emballe"
41,La rapidité et la conformité des…,5,2024-05-25 00:00:00+00:00,La rapidité et la conformité des articles commandés ,Negative,Marketplace,1,La rapidité et la conformité des… La rapidité et la conformité des articles commandés 
42,Site tres bien un peu long la livraison…,4,2023-09-09 00:00:00+00:00,Site tres bien un peu long la livraison mais les tarifs sont bas donc ça va je recommande,Neutral,Customer Service,1,Site tres bien un peu long la livraison… Site tres bien un peu long la livraison mais les tarifs sont bas donc ça va je recommande
43,Trade assurance d'Alibaba = ARNAQUE,1,2024-05-02 00:00:00+00:00,"La plateforme Alibaba vend sa prestation Trade assurance pour sécuriser les transactions en cas de conflit avec les vendeurs. C'est du vol, en cas de conflit il ferme le ticket. Vous avez les coordonnées des fournisseurs, alors traités en direct, vous économiserez 10% sur vos achats. Nous passons plus de 100 000 € de commande par an sur plusieurs fournisseurs et il est inutile de passer par leur service totalement inutile. ",Negative,Customer Service,0,"Trade assurance d'Alibaba = ARNAQUE La plateforme Alibaba vend sa prestation Trade assurance pour sécuriser les transactions en cas de conflit avec les vendeurs. C'est du vol, en cas de conflit il ferme le ticket. Vous avez les coordonnées des fournisseurs, alors traités en direct, vous économiserez 10% sur vos achats. Nous passons plus de 100 000 € de commande par an sur plusieurs fournisseurs et il est inutile de passer par leur service totalement inutile. "
44,Magnifique,5,2023-05-17 00:00:00+00:00,Je recommande ce fournisseur fortement ! Sérieux et produit sans aucun problème ! Magnifique,Negative,Customer Service,1,Magnifique Je recommande ce fournisseur fortement ! Sérieux et produit sans aucun problème ! Magnifique
45,quality professional of your staff,5,2023-05-24 00:00:00+00:00,"quality professional of your staff
guide and advice you",Negative,Uncategorized,1,"quality professional of your staff quality professional of your staff
guide and advice you"
46,Merci beaucoup pour cette belle…,5,2024-05-02 00:00:00+00:00,"Merci beaucoup pour cette belle collaboration  🤩
",Negative,Uncategorized,1,"Merci beaucoup pour cette belle… Merci beaucoup pour cette belle collaboration  🤩
"
47,la qualité du produit au top.,5,2023-05-11 00:00:00+00:00,"la qualité du produit au top.
Service professionnel et super réactif",Positive,Customer Service,1,"la qualité du produit au top. la qualité du produit au top.
Service professionnel et super réactif"
48,Très bonne expérience achat,5,2023-10-26 00:00:00+00:00,"Très bonne expérience achat, je recommande",Neutral,Customer Service,1,"Très bonne expérience achat Très bonne expérience achat, je recommande"
49,Very good quality of products,5,2024-04-15 00:00:00+00:00,"Very good quality of products
Good communication",Negative,Uncategorized,1,"Very good quality of products Very good quality of products
Good communication"
50,Merci,5,2023-09-30 00:00:00+00:00,Merci. Alibaba très pratique et facile à utiliser,Neutral,Uncategorized,1,Merci Merci. Alibaba très pratique et facile à utiliser
51,La livraison semble très longue.,5,2022-12-29 00:00:00+00:00,La livraison semble très longue mais dû à la distance entre la Chine et la France.,Negative,Shipping,1,La livraison semble très longue. La livraison semble très longue mais dû à la distance entre la Chine et la France.
52,Arnaque plus de 10 000 de marchandise…,1,2024-05-06 00:00:00+00:00,Arnaque plus de 10 000 de marchandise perdue. Le produit est mal conditionné et certains lot ne fonctionne pas. Malgré les preuves videos et la réclamation. Alibaba donne raison au vendeur incroyable. Je ne recommande pas. C'est du vol.,Negative,Customer Service,0,Arnaque plus de 10 000 de marchandise… Arnaque plus de 10 000 de marchandise perdue. Le produit est mal conditionné et certains lot ne fonctionne pas. Malgré les preuves videos et la réclamation. Alibaba donne raison au vendeur incroyable. Je ne recommande pas. C'est du vol.
53,Interlocuteur fiable et de bons…,5,2023-06-17 00:00:00+00:00,Interlocuteur fiable et de bons conseilles,Negative,Uncategorized,1,Interlocuteur fiable et de bons… Interlocuteur fiable et de bons conseilles
54,Achat très rapide et fiable,5,2023-06-10 00:00:00+00:00,"Achat très rapide et fiable, colis bien protégé",Positive,Shipping,1,"Achat très rapide et fiable Achat très rapide et fiable, colis bien protégé"
55,service de livraison respecte le delai,5,2024-01-09 00:00:00+00:00,service de livraison respecte le delai,Negative,Customer Service,1,service de livraison respecte le delai service de livraison respecte le delai
56,Very good seller,5,2023-01-03 23:00:00+00:00,"Very good seller, the material corresponds exactly to what I had ordered.",Negative,Uncategorized,1,"Very good seller Very good seller, the material corresponds exactly to what I had ordered."
57,Produit fallacieux ,1,2024-03-13 00:00:00+00:00,"Bonsoir, j'ai acheté un smartphone sur le site Alibaba ,je vis en France mais après quelques semaines le smartphone en question ne fonctionne plus il ne s'allume même plus je leurs ai envoyé mail dans lequel je demande un échange mais malheureusement ils ne m'ont pas encore répondu, je vais attendre quelques jours et je vais aller en justice, si quelqu'un peut me renseigner .   Merci ",Negative,Electronics,0,"Produit fallacieux  Bonsoir, j'ai acheté un smartphone sur le site Alibaba ,je vis en France mais après quelques semaines le smartphone en question ne fonctionne plus il ne s'allume même plus je leurs ai envoyé mail dans lequel je demande un échange mais malheureusement ils ne m'ont pas encore répondu, je vais attendre quelques jours et je vais aller en justice, si quelqu'un peut me renseigner .   Merci "
58,Respecte les délais.,5,2023-11-20 00:00:00+00:00,"Respecte les délais.
Très sérieux",Neutral,Shipping,1,"Respecte les délais. Respecte les délais.
Très sérieux"
59,Je suis content du service fourni,4,2023-07-06 00:00:00+00:00,"Je suis content du service fourni. La commande a été traitée à temps, selon le contrat.",Negative,Customer Service,1,"Je suis content du service fourni Je suis content du service fourni. La commande a été traitée à temps, selon le contrat."
60,Shipping fast and very good quality…,5,2023-06-04 00:00:00+00:00,Shipping fast and very good quality product,Negative,Uncategorized,1,Shipping fast and very good quality… Shipping fast and very good quality product
61,I am satisfied with the quality,5,2023-03-24 00:00:00+00:00,I am satisfied with the quality,Neutral,Uncategorized,1,I am satisfied with the quality I am satisfied with the quality
62,Livraison rapide.,5,2023-11-20 00:00:00+00:00,"Livraison rapide.
- compréhension
- pas de complication entre nous
- Merci",Negative,Shipping,1,"Livraison rapide. Livraison rapide.
- compréhension
- pas de complication entre nous
- Merci"
63,Je suis très fière de moi,5,2022-03-17 00:00:00+00:00,J'ai appris beaucoup de chose en si peu de temps sur alibaba,Negative,Uncategorized,1,Je suis très fière de moi J'ai appris beaucoup de chose en si peu de temps sur alibaba
64,rapide et honnete prix tres correct,5,2023-09-14 00:00:00+00:00,rapide et honnete prix tres correct,Neutral,Uncategorized,1,rapide et honnete prix tres correct rapide et honnete prix tres correct
65,Good communication with the seller,5,2023-09-18 00:00:00+00:00,Good communication with the seller. He takes care of customer satisfaction,Negative,Customer Service,1,Good communication with the seller Good communication with the seller. He takes care of customer satisfaction
66,service qualité,5,2023-06-22 00:00:00+00:00,service qualité,Neutral,Customer Service,1,service qualité service qualité
67,Je suis très satisfait du service de Alibaba,5,,Je suis très satisfait du service D'Alibaba! Malgré 1 fournisseur que je ne suis pas du tout content car ils m'ont vendu un produit qui n'était pas conforme à la description du produit! ça fait une année que j'attends la mise à jour du produit et ça commence à faire long car l'appareil je ne peux pas l'utilise !!! Mais si non je vais continuer à commander sur Alibaba et je ferais attention à ce que je commande. MERCI ALIBABA.,Negative,Customer Service,1,Je suis très satisfait du service de Alibaba Je suis très satisfait du service D'Alibaba! Malgré 1 fournisseur que je ne suis pas du tout content car ils m'ont vendu un produit qui n'était pas conforme à la description du produit! ça fait une année que j'attends la mise à jour du produit et ça commence à faire long car l'appareil je ne peux pas l'utilise !!! Mais si non je vais continuer à commander sur Alibaba et je ferais attention à ce que je commande. MERCI ALIBABA.
68,Exactly what I was looking for,5,2023-03-01 00:00:00+00:00,Exactly what I was looking for,Negative,Uncategorized,1,Exactly what I was looking for Exactly what I was looking for
69,Very good Dealer,5,2023-01-25 00:00:00+00:00,"Very good Dealer, Good quality",Neutral,Uncategorized,1,"Very good Dealer Very good Dealer, Good quality"
70,Great Experience,5,2023-11-06 00:00:00+00:00,Easy to communicate and have a great selection of colors and materials ...,Negative,Uncategorized,1,Great Experience Easy to communicate and have a great selection of colors and materials ...
71,Bon fournissuer,5,2023-11-03 00:00:00+00:00,Très belle expérience,Negative,Uncategorized,1,Bon fournissuer Très belle expérience
