title,rating,date,body,sentiment,category,month_year,satisfied
Livraison dans les temps et les…,5,2024-06-28,Livraison dans les temps et les articles sont comme la description nickel ,Positive,Shipping,2024-06,1
Produit livré rapidement,5,2024-06-28,"Produit livré rapidement, bien emballé et en bon état. Parfait !",Positive,Shipping,2024-06,1
J'ai voulu utiliser mon porte monnaie…,1,2024-06-28,"J'ai voulu utiliser mon porte monnaie pour la première fois, mais c'est impossible car la date de naissance n'est pas reconnue, et impossible de la modifier..",Negative,Uncategorized,2024-06,0
EFFICACE ,5,2024-06-19,"Je trouve rapidement le titre recherché et en bon état , livraison rapide ",Positive,Shipping,2024-06,1
Livraisons conformes,5,2024-06-22,"Livraisons conformes, dans les délais prévus, packaging RAS - Merci",Positive,Shipping,2024-06,1
Bien ,5,2024-06-28,"C'est juste que tout s'est passé normalement, sans problème !",Positive,Customer Service,2024-06,1
"Très bon site ,pas de problème…",5,2024-06-27,"Très bon site ,pas de problème d'échanges avec le vendeur.livraison impeccable. 
Rien à redire. ",Positive,Customer Service,2024-06,1
Tout s'est bien passé,5,2024-06-20,"Tout s'est bien passé, de la commande à la réception + produit conforma",Positive,Customer Service,2024-06,1
Achat d un livre trouvé sur le site…,5,2024-06-27,Achat d un livre trouvé sur le site facilement et reçu rapidement ,Positive,Marketplace,2024-06,1
Produit conforme,5,2024-06-19,"Produit conforme, envoi et réception rapides, efficacité. Rien à redire je recommande Rakuten pour les produits d’occasion ",Positive,Customer Service,2024-06,1
Rakuten est performant,5,2024-06-20,"Rakuten est performant, réactif et à l'écoute de ses clients. ",Positive,Customer Service,2024-06,1
j'ai très bien recu ma commande et je suis très très satisfaite de ma commande! merci a vous,5,2024-06-28,"j'ai très bien recu ma commande, bien emballé, et la colle est parfaite! je suis très satisfaite de ma commande! merci a vous",Positive,Customer Service,2024-06,1
Envoi rapide pas de problème,5,2024-06-27,"Envoi rapide pas de problème, appareil bien en relation de son prix.",Positive,Customer Service,2024-06,1
CD reçu ,5,2024-06-28,"CD reçu rapidement très bien emballé et en très bon état
",Positive,Uncategorized,2024-06,1
Produits qu'on ne trouve pas ailleurs.,5,2024-06-27,"Produits qu'on ne trouve pas ailleurs.
Interface conviviale et intuitive.",Positive,Marketplace,2024-06,1
Envoi rapide et soigné,5,2024-06-21,Envoi rapide et soigné. Livre à l'état du neuf comme indiqué.,Positive,Shipping,2024-06,1
Remerciements,5,2024-06-28,Tout c'est bien passé commande livraison reception merci ras,Positive,Customer Service,2024-06,1
Tout s'est déroulé exactement comme…,5,2024-06-28,Tout s'est déroulé exactement comme prévu prix + délai. Impécable!,Positive,Shipping,2024-06,1
Qualité du support et du produit…,5,2024-06-26,"Qualité du support et du produit acheté, sincèrement merci au vendeur. Sylvain ",Positive,Customer Service,2024-06,1
pas très content,3,2024-06-20,"je ne suis pas satisfait car vous imposé l'assurance et je n'en veux absolument pas, et impossible d'annuler sur vos documents cela ne fonctionne pas",Negative,Uncategorized,2024-06,0
J ai trouve ce que je cherchais,5,2024-06-27,"J ai trouve ce que je cherchais a un prix raisonnable
Le site est facile d utilisation ",Positive,Marketplace,2024-06,1
Produit conforme,5,2024-06-26,"Produit conforme, au meilleur prix sur le marché à la date d'achat.
Le bémol sur le délai de livraison, un peu long (12 jours)",Positive,Shipping,2024-06,1
Livres expédiés rapidement et en très…,5,2024-06-19,Livres expédiés rapidement et en très bons états ,Positive,Uncategorized,2024-06,1
Satisfait !,5,2024-06-20,"Commande facile,  livraison rapide....
OK pour moi !",Positive,Customer Service,2024-06,1
Achat parfum.,5,2024-06-20,Livraison très rapide et produit conforme au descriptif.,Positive,Shipping,2024-06,1
DVD U2,4,2024-06-27,"Prestation bonne dans l'ensemble, mais malheureusement le descriptif des produits est beaucoup trop succinct.",Positive,Marketplace,2024-06,1
Excellent ,5,2024-06-19,Service de qualité de la commande jusqu'à la livraison et le fonctionnement du logiciel. Merci,Positive,Customer Service,2024-06,1
Livre en très bon état .Livraison …,5,2024-06-21,Livre en très bon état .Livraison  rapide Envoi parfait,Positive,Shipping,2024-06,1
Article conforme à mon attente,5,2024-06-19,Article conforme à mon attente. Livraison super rapide.,Positive,Shipping,2024-06,1
Produit conforme à ma demande ,5,2024-06-21,"Produit conforme à ma demande 
Reçu rapidement 
Merci ",Positive,Marketplace,2024-06,1
Entière  satisfaction,5,2024-06-28,"Envoi rapide,  produit conforme à la description.",Positive,Shipping,2024-06,1
Produits de qualité et ex livraison dans…,5,2024-06-27,"Produits de qualité et livraison dans les meilleurs délais
",Positive,Shipping,2024-06,1
Super emballage pour un disque 33…,5,2024-06-21,"Super emballage pour un disque 33 tours.
Livraison un peu longue, ",Positive,Shipping,2024-06,1
très satisfaite :,5,2024-06-27,"très satisfaite :
colis fragile bien enveloppé dans le colis
colis arrivé rapidement au point relais",Positive,Shipping,2024-06,1
Achat sans problème et rapidité du…,5,2024-06-28,Achat sans problème et rapidité du vendeur.,Positive,Customer Service,2024-06,1
Très efficace,5,2024-06-21,"Très efficace, rapide et respecte le délai de livraison.",Positive,Shipping,2024-06,1
Rakuten site attractif,5,2024-06-28,"Envois rapides et soignés.
Prix souvent attractifs.",Positive,Shipping,2024-06,1
Trouvé facilement ce que je souhaitais,5,2024-06-27,"Trouvé facilement ce que je souhaitais, rapidement expédié et en très bon état.",Positive,Uncategorized,2024-06,1
Rakuten les bonnes affaires,5,2024-06-19,large choix de produit reduction et protection acheteur,Positive,Marketplace,2024-06,1
Belle 1ère expérience de vente,5,2024-06-28,Lors de ma vente j'ai bien été guidée pour l'envoi et le suivi était parfait.,Positive,Shipping,2024-06,1
Achat,5,2024-06-28,Très bien et livraison rapide.je remercie Rakuten. ,Positive,Shipping,2024-06,1
Top!,5,2024-06-27,Top. Bien emballé et livraison tres rapide,Positive,Shipping,2024-06,1
Tout s'est bien passé et rapidement je…,5,2024-06-28,Tout s'est bien passé et rapidement je suis très content de mon achat.,Positive,Uncategorized,2024-06,1
Suivi de commande très performant avec,5,2024-06-27,Suivi de commande très performant avec ,Positive,Customer Service,2024-06,1
Commande très facile et livraison dans…,5,2024-06-27,Commande très facile et livraison dans les temps. Parfait achat,Positive,Customer Service,2024-06,1
Déroulement des Achats ,5,2024-06-27,"Bonjour
Les achats se sont déroulés correctement.",Positive,Uncategorized,2024-06,1
Des achats réussis…,5,2024-06-27,"articles décrits avec précision et justesse, pas de déception; envoi rapide et sécurisé; bonne communication avec le vendeur.",Positive,Shipping,2024-06,1
Livraison comme prévu et le livre en…,5,2024-06-21,Livraison comme prévu et le livre en super état ,Positive,Shipping,2024-06,1
Transaction conforme et sécurisé,5,2024-06-19,"Transaction conforme et sécurisé
Vendeur au top",Positive,Uncategorized,2024-06,1
Bon rapport qualité prix,5,2024-06-20,"Bon rapport qualité prix, délai de livraison ",Positive,Shipping,2024-06,1
Site bien structuré mais...,3,2024-06-21,"Site bien structuré, demande au vendeurs d'être rapide à l'envoi de colis, le paiement est clair, je retire deux étoiles car j'ai eu une très mauvaise expérience il y a quelques temps et rakuten m'a obligé à payer la somme à un voleur  (un pc portable à 800Euros, j'ai reçu des magazines à la place malgré mes preuves Rakuten m'a laissé tombé et cela ne s'oublie jamais).",Neutral,Shipping,2024-06,0
2 livres livres sur 3,4,2024-06-28,2 livres livres sur 3. 1 annulé sans trop de motif. Mais je continue a faire confiance a rakuten bien sûr ,Positive,Uncategorized,2024-06,1
Facilité de commande ,4,2024-06-19,"Facilité de commande 
pas très réactif : 2jours pour avoir un code , peut mieux faire .",Positive,Customer Service,2024-06,1
Livre reçu rapidement comme neuf,5,2024-06-21,Livre reçu rapidement comme neuf ,Positive,Uncategorized,2024-06,1
Prix et délais de livraison  très …,5,2024-06-20,Prix et délais de livraison  très  satisfaisant,Positive,Shipping,2024-06,1
Produit et livraison ok,5,2024-06-27,Livraison dans les temps. Produit en bon état et conforme à la commande. On ne peut rien demander de plus. C'est ok,Positive,Customer Service,2024-06,1
Bonne expérience,5,2024-06-21,"Bonne expérience, rapide et soigné ",Positive,Uncategorized,2024-06,1
Très bien,5,2024-06-27,Le livre correspond bien à l'annonce ! Merci,Positive,Uncategorized,2024-06,1
Site parfait,5,2024-06-20,Site parfait. Aucun problème ,Positive,Customer Service,2024-06,1
Vitesse de réception du colis,5,2024-06-21,Vitesse de réception du colis,Positive,Shipping,2024-06,1
Très bien,5,2024-06-21,"Très bien, rapide, efficace.",Positive,Uncategorized,2024-06,1
Transaction parfaite à tous niveaux.,5,2024-06-27,Transaction parfaite à tous niveaux.,Positive,Uncategorized,2024-06,1
Dans l'ensemble une bonne expérience,5,2024-06-19,"Dans l'ensemble une bonne expérience. Accompagnement dans l'achat jusqu'à la livraison. Disponibilité des vendeurs, leur réactivité. ",Positive,Shipping,2024-06,1
Envoie rapide et soigné.,5,2024-06-28,Envoie rapide et soigné.,Positive,Shipping,2024-06,1
Très bonne expérience le seul site qui…,5,2024-06-19,Très bonne expérience le seul site qui offre du cash back en retour,Positive,Shipping,2024-06,1
Bonne transaction,5,2024-06-20,Bonne transaction reçu rapidement avec suivi du colis.,Positive,Shipping,2024-06,1
Le téléphone est génial,5,2024-06-19,Le téléphone est génial,Positive,Electronics,2024-06,1
Performant,5,2024-06-27,"Performant, rapide, j'aime bien !",Positive,Uncategorized,2024-06,1
Meilleur rapport qualité/prix !,5,2024-06-27,Meilleur rapport qualité/prix !,Positive,Uncategorized,2024-06,1
Article arrivée en bonne état,5,2024-06-18,Article arrivée en bonne état,Positive,Marketplace,2024-06,1
Parfait,5,2024-06-20,"Parfait, tout s’est très bien déroulé",Positive,Uncategorized,2024-06,1
Livre en parfait état,5,2024-06-19,"Livre en parfait état, vendeur sérieux",Positive,Uncategorized,2024-06,1
Très bien,5,2024-06-20,"Très bien, livraison conforme à la commande.",Positive,Customer Service,2024-06,1
Conforme au produit commandé,5,2024-06-19,Conforme au produit commandé ,Positive,Marketplace,2024-06,1
Envoie ultra rapide emballage discret…,5,2024-06-28,Envoie ultra rapide emballage discret et parfait ,Positive,Shipping,2024-06,1
A trop si Eto'o du tu du tu show eu du…,5,2024-06-21,A trop si Eto'o du tu du tu show eu du retard du ru et du et du ru SH riz,Positive,Food,2024-06,1
Superbe expérience,5,2024-06-28,Superbe expérience...j'aime trop Rakuten ,Positive,Uncategorized,2024-06,1
Je suis satisfait de la commande que…,5,2024-06-28,Je suis satisfait de la commande que j’ai faite !,Positive,Customer Service,2024-06,1
Commande expédition rapide ,5,2024-06-28,"Commande expédition rapide , rien à redire ",Positive,Customer Service,2024-06,1
colis bien reçu,5,2024-06-28,colis bien reçu,Positive,Shipping,2024-06,1
Bon rapport qualité prix,4,2024-06-20,Bon rapport qualité prix ,Positive,Uncategorized,2024-06,1
Super!,5,2024-06-26,"Super!
Rapide et efficace, impecc!!",Positive,Uncategorized,2024-06,1
Bon rapport qualité/ prix,5,2024-06-28,Bon rapport qualité/ prix.  Site facile d'utilisation.  ,Positive,Marketplace,2024-06,1
Il est facile d'envoyer une facture…,1,2024-06-19,"Il est facile d'envoyer une facture avec la tva, nous sommes en France.La, pas de taxe sur la valeur ajoutée.",Neutral,Electronics,2024-06,0
Bon produit ,5,2024-06-28,"Bon produit 
Excellent etat",Positive,Marketplace,2024-06,1
Produits conformes à mes commandes,5,2024-06-21,Produits conformes à mes commandes ,Positive,Customer Service,2024-06,1
Envoi conforme à mes attentes,5,2024-06-27,Envoi conforme à mes attentes. Et 2ème vie à  un ouvrage. ,Positive,Shipping,2024-06,1
rapidite de livraison et qualite produit,5,2024-06-27,rapidite de livraison et qualite produit,Positive,Shipping,2024-06,1
Livre bon état envoi rapide,5,2024-06-20,Livre bon état envoi rapide ,Positive,Shipping,2024-06,1
Très bonne expérience.,5,2024-06-21,"Très bonne expérience.
Produit impeccable et arrivé rapidement",Positive,Marketplace,2024-06,1
très bien,5,2024-06-19,"très bien, service sérieux",Positive,Customer Service,2024-06,1
Colis livré conforme et rapidement.,5,2024-06-27,Colis livré conforme et rapidement.,Positive,Shipping,2024-06,1
Commande rapide et efficace,5,2024-06-28,Commande rapide et efficace,Positive,Customer Service,2024-06,1
parfait merci pour Tout,5,2024-06-27,parfait merci pour Tout ,Positive,Uncategorized,2024-06,1
C est toujours parfait,5,2024-06-27,C est toujours parfait ,Positive,Uncategorized,2024-06,1
Parfait ,5,2024-06-21,Achat d'occasion parfait !,Positive,Uncategorized,2024-06,1
toujours parfait,5,2024-06-20,toujours parfait depuis toujours,Positive,Uncategorized,2024-06,1
"Produit conforme à l' annonce , suivi de livraison un peu laborieux , mais le circuit est complexe et il y a les douanes.Vendeur sérieux ",4,2024-06-28,Produit conforme parfait état ,Positive,Marketplace,2024-06,1
très bien je recommande!,5,2024-06-27,très bien je recommande!,Positive,Customer Service,2024-06,1
parfait,5,2024-06-28,je n'ai rien à ajouter tout parfait,Positive,Uncategorized,2024-06,1
bien reçu mes commandes ,5,2024-06-20,bien reçu mes commandes . RAS ,Positive,Customer Service,2024-06,1
des livres à moindre coût,5,2024-06-16,On peut trouver des livres à moindre coût et en bon état,Positive,Uncategorized,2024-06,1
Livraison rapide,5,2024-06-28,"Livraison rapide, ras ",Positive,Shipping,2024-06,1
Très satisfait Merci,5,2024-06-20,Très satisfait Merci ,Positive,Uncategorized,2024-06,1
livraison rapide et soignée,5,2024-06-27,livraison rapide et soignée ,Positive,Shipping,2024-06,1
Tout à été nickel et rapide.,5,2024-06-28,Tout à été nickel et rapide.,Positive,Uncategorized,2024-06,1
PARFAIT,5,2024-06-28,"PARFAIT. SUIS RAVIE DE CET ACHAT !
",Positive,Uncategorized,2024-06,1
Simple et efficace.,5,2024-06-21,"Simple et efficace.
Content de mon achat.",Positive,Uncategorized,2024-06,1
Très bien vendeur rapide et agreable,5,2024-06-24,Très bien vendeur rapide et agreable,Positive,Uncategorized,2024-06,1
Aucun problème,5,2024-06-28,Aucun problème ,Positive,Customer Service,2024-06,1
"Aucun probleme, service rapide et efficace.",5,2024-06-19,"Super, service ",Positive,Customer Service,2024-06,1
Très bien rapide,5,2024-06-19,"Très bien rapide, efficace, bonne communication ",Positive,Uncategorized,2024-06,1
Aucun souci,5,2024-06-20,Aucun souci ,Positive,Uncategorized,2024-06,1
"envoi rapide, et soigné",5,2024-06-20,envoi rapide,Positive,Shipping,2024-06,1
Rapide et efficace,5,2024-06-27,Rapide et efficace ,Positive,Uncategorized,2024-06,1
Les commandes se passent tjrs très bien,5,2024-06-20,Les commandes se passent tjrs très bien ,Positive,Customer Service,2024-06,1
Aucun soucis.,5,2024-06-27,Aucun soucis. ,Positive,Uncategorized,2024-06,1
absurde,1,2024-06-10,voir mon dernier mail non traité en Réf. : 841832491/933385850,Neutral,Uncategorized,2024-06,0
La commande passée le 20 juin n'est arrivée que le 28 juin. Le livre est en bon état et non pas très bon état.,2,2024-06-27,La commande passée le 20 ,Neutral,Customer Service,2024-06,0
Commande impeccable,5,2024-06-21,"Commande impeccable, délais respectes",Positive,Customer Service,2024-06,1
Produit Nickel,4,2024-06-21,Produit Nickel,Positive,Marketplace,2024-06,1
Super ventilateur,5,2024-06-27,"Super ventilateur, carton reçu intact et rapidement ",Positive,Uncategorized,2024-06,1
comme neuf,5,2024-06-28,"comme neuf, tout est parfait",Positive,Uncategorized,2024-06,1
Impeccable,5,2024-06-28,"Impeccable, delais et conformité ",Positive,Uncategorized,2024-06,1
Tout s'est très bien passé.,5,2024-06-21,Tout s'est très bien passé.,Positive,Uncategorized,2024-06,1
très agréable point relais,5,2024-06-28,très agréable point relais,Positive,Uncategorized,2024-06,1
Rapide et conforme,5,2024-06-20,"Rapide et conforme 
",Positive,Uncategorized,2024-06,1
ok très bien bon travail,5,2024-06-28,ok très bien bon travail,Positive,Uncategorized,2024-06,1
Conforme à mes attentes,5,2024-06-21,Conforme à mes attentes ,Positive,Uncategorized,2024-06,1
Tout s'est bien passé,5,2024-06-28,Tout s'est bien passé ,Positive,Uncategorized,2024-06,1
tout est parfait,5,2024-06-28,tout est parfait,Positive,Uncategorized,2024-06,1
Site fiable et sérieux. ,5,2024-06-21,Site fiable et sérieux ,Positive,Marketplace,2024-06,1
Tout à été parfait,5,2024-06-21,Tout à été parfait ,Positive,Uncategorized,2024-06,1
Qualité du produit ,5,2024-06-20,Rapidité de la livraison. ,Positive,Shipping,2024-06,1
Très bien ,5,2024-06-28,Rapide et très bien ,Positive,Uncategorized,2024-06,1
Frais exorbitants !,1,2024-06-20,Frais exorbitants !,Neutral,Uncategorized,2024-06,0
Transaction rapide livraison…,5,2024-06-27,Transaction rapide livraison raisonnable impeccable ,Positive,Shipping,2024-06,1
Top très bien bon prix ,5,2024-06-19,Très bon prix et rapide ,Positive,Uncategorized,2024-06,1
Parfait livraison rapide,5,2024-06-28,Parfait livraison rapide ,Positive,Shipping,2024-06,1
